name,source,gender,wikidata,type
Barbarastraße,wikidata,F,Q192816,way
Eggstraße,wikidata,F,Q94761222,way
Elsa-Brändström-Straße,wikidata,F,Q469673,way
Grete-Borgmann-Straße,wikidata,F,Q19720965,way
Hildastraße,wikidata,F,Q236176,way
Hilde-Mangold-Straße,wikidata,F,Q100742,way
Katharinenhof,wikidata,F,Q94761222,way
Katharinenstraße,wikidata,F,Q94761222,way
Lina-Hähnle-Weg,wikidata,F,Q1825635,way
Maria-Theresia-Straße,wikidata,F,Q131706,way
Marie-Curie-Straße,wikidata,F,Q7186,way
Mathildenstraße,wikidata,F,Q97124,way
Stephanienstraße,wikidata,F,Q62024,way
Achim-Stocker-Straße,wikidata,M,Q329185,way
Adalbert-Stifter-Straße,wikidata,M,Q168542,way
Admiral-Spee-Straße,wikidata,M,Q57185,way
Adolf-Schmitthenner-Straße,wikidata,M,Q364172,way
Albertstraße,wikidata,M,Q145606,way
"Am Karlsplatz",wikidata,M,Q57799,way
Andreas-Hofer-Straße,wikidata,M,Q11697,way
Angelus-Silesius-Straße,wikidata,M,Q60469,way
Arndtstraße,wikidata,M,Q57351,way
Auerstraße,wikidata,M,Q89390,way
August-Ganther-Straße,wikidata,M,Q19502012,way
Baldensteinstraße,wikidata,M,Q18625885,way
Beethovenstraße,wikidata,M,Q255,way
Bernhardstraße,wikidata,M,Q98487,way
Bertoldstraße,wikidata,M,Q650536,way
Bismarckallee,wikidata,M,Q8442,way
Blasiusstraße,wikidata,M,Q151967,way
Blücherstraße,wikidata,M,Q153522,way
Boelckestraße,wikidata,M,Q57716,way
Brahmsstraße,wikidata,M,Q7294,way
Brucknerstraße,wikidata,M,Q81752,way
Cardinalweg,wikidata,M,Q540532,way
Carl-Maria-von-Weber-Straße,wikidata,M,Q154812,way
Carl-Mez-Straße,wikidata,M,Q1039765,way
Conrad-Gröber-Straße,wikidata,M,Q74284,way
Damaschkestraße,wikidata,M,Q89439,way
Dimmlerstraße,wikidata,M,Q55679008,way
Dischlerstraße,wikidata,M,Q1262477,way
Dortustraße,wikidata,M,Q112296,way
Draisstraße,wikidata,M,Q77122,way
Egonstraße,wikidata,M,Q1298024,way
Eichendorffweg,wikidata,M,Q77204,way
Eichrodtstraße,wikidata,M,Q96692,way
Emil-Gött-Straße,wikidata,M,Q1336153,way
Engelbergerstraße,wikidata,M,Q16006167,way
Engesserstraße,wikidata,M,Q1458975,way
Englerplatz,wikidata,M,Q15264263,way
Ernst-Zermelo-Straße,wikidata,M,Q57248,way
Erwinstraße,wikidata,M,Q68243,way
Erzherzogstraße,wikidata,M,Q84201,way
Fahnenbergplatz,wikidata,M,Q1446751,way
Faulerstraße,wikidata,M,Q1288281,way
Fehrenbachallee,wikidata,M,Q77156,way
Fendrichstraße,wikidata,M,Q589280,way
Ferdinand-Weiß-Straße,wikidata,M,Q94828855,way
Fichtestraße,wikidata,M,Q102585,way
Franz-Geiler-Platz,wikidata,M,Q1446897,way
Franz-Liszt-Straße,wikidata,M,Q41309,way
Freiligrathstraße,wikidata,M,Q213719,way
Friedrich-Ebert-Platz,wikidata,M,Q2646,relation+way
Friedrichring,wikidata,M,Q57483,way
Friedrichstraße,wikidata,M,Q57483,way
Fritz-Geiges-Straße,wikidata,M,Q1466335,way
Fritz-Schieler-Platz,wikidata,M,Q1468191,way
Gabelsbergerstraße,wikidata,M,Q62137,way
Galurastraße,wikidata,M,Q98781,way
Gaußstraße,wikidata,M,Q6722,way
George-de-Hevesy-Weg,wikidata,M,Q76951,way
Gerbertstraße,wikidata,M,Q66625,way
Gerhart-Hauptmann-Straße,wikidata,M,Q43523,way
Glareanstraße,wikidata,M,Q124070,way
